

 F
+--------------------------+----+----------+----+----+----+----+----+----+----+
|          Phrase          | F  | Othermax | A  | I  | LR | R  | SO | SP | SS |
|       case of        | 6  |    22    | 13 | 7  | 2  | 5  | 22 | 0  | 6  |
|      a company       | 9  |    8     | 0  | 1  | 0  | 0  | 0  | 0  | 8  |
|       v. State       | 6  |    2     | 2  | 1  | 0  | 1  | 0  | 0  | 0  |
|   State Government   | 6  |    16    | 7  | 16 | 0  | 1  | 13 | 0  | 0  |
|     rural areas      | 7  |    1     | 0  | 1  | 0  | 0  | 0  | 0  | 0  |
|      this court      | 7  |    6     | 6  | 1  | 0  | 0  | 0  | 0  | 0  |
|     for decision     | 6  |    2     | 0  | 1  | 2  | 1  | 0  | 0  | 0  |
|       to make        | 6  |    4     | 3  | 4  | 0  | 2  | 3  | 0  | 4  |
|      the nature      | 6  |    4     | 1  | 2  | 3  | 2  | 4  | 3  | 0  |
| entrance examination | 6  |    12    | 12 | 4  | 0  | 1  | 1  | 0  | 0  |
|       & Ors.,        | 6  |    2     | 2  | 0  | 0  | 0  | 0  | 0  | 0  |
|     excise duty      | 7  |    3     | 3  | 0  | 0  | 0  | 0  | 0  | 0  |
|      on undrawn      | 6  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|      the Crown       | 6  |    3     | 0  | 0  | 0  | 0  | 0  | 0  | 3  |
|     transfer of      | 6  |    2     | 2  | 1  | 0  | 1  | 2  | 0  | 1  |
|   v. Commissioner    | 6  |    1     | 0  | 1  | 0  | 0  | 0  | 1  | 0  |
|       the Act        | 11 |    38    | 22 | 38 | 9  | 14 | 21 | 0  | 31 |
|      that case       | 7  |    3     | 2  | 0  | 0  | 0  | 3  | 0  | 0  |
|      the ground      | 6  |    8     | 6  | 6  | 1  | 8  | 2  | 0  | 2  |
|       per cent       | 7  |    10    | 0  | 2  | 0  | 3  | 2  | 0  | 10 |
|      matter of       | 6  |    4     | 2  | 4  | 0  | 1  | 0  | 0  | 1  |
|     the evidence     | 7  |    9     | 1  | 3  | 0  | 9  | 3  | 4  | 0  |
|  the determination   | 6  |    3     | 3  | 0  | 0  | 0  | 0  | 0  | 0  |
|       of law.        | 7  |    2     | 1  | 1  | 0  | 2  | 1  | 1  | 0  |
|     the decision     | 6  |    8     | 3  | 8  | 1  | 2  | 4  | 2  | 1  |
|   the respondents    | 6  |    16    | 16 | 13 | 3  | 7  | 6  | 4  | 0  |
|      Section 2       | 10 |    16    | 16 | 5  | 2  | 3  | 2  | 0  | 7  |
|      whether a       | 7  |    4     | 0  | 0  | 0  | 1  | 1  | 3  | 4  |
|        & Ors.        | 11 |    5     | 5  | 0  | 0  | 0  | 2  | 0  | 0  |
|       of India       | 8  |    8     | 6  | 8  | 1  | 1  | 3  | 0  | 6  |
|       the fact       | 10 |    13    | 9  | 10 | 2  | 3  | 13 | 6  | 4  |
|     the contract     | 8  |    7     | 7  | 0  | 0  | 1  | 0  | 1  | 6  |
|    the respondent    | 9  |    30    | 24 | 30 | 5  | 19 | 19 | 4  | 1  |
|    import licence    | 6  |    2     | 2  | 0  | 0  | 1  | 0  | 0  | 2  |
|      and others      | 7  |    6     | 6  | 1  | 1  | 0  | 0  | 0  | 0  |
|       tion in        | 15 |    13    | 12 | 13 | 8  | 5  | 10 | 1  | 5  |
|        a part        | 8  |    11    | 10 | 11 | 3  | 7  | 5  | 0  | 6  |
|      and Others      | 6  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|    undrawn liquor    | 6  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|        est in        | 6  |    4     | 2  | 4  | 1  | 1  | 1  | 0  | 4  |
|      of Income       | 7  |    4     | 2  | 4  | 2  | 0  | 0  | 1  | 0  |
|      as follows      | 6  |    9     | 1  | 3  | 1  | 0  | 0  | 1  | 9  |
|         : "          | 7  |    3     | 0  | 3  | 0  | 1  | 0  | 0  | 1  |
|   the Commissioner   | 17 |    6     | 0  | 6  | 1  | 1  | 0  | 0  | 0  |
|        fact a        | 8  |    3     | 0  | 1  | 0  | 1  | 0  | 3  | 0  |
|         . A          | 17 |    29    | 27 | 29 | 3  | 8  | 20 | 1  | 10 |
|        cut of        | 8  |    3     | 3  | 0  | 0  | 0  | 0  | 0  | 0  |
|        ase of        | 9  |    22    | 13 | 7  | 4  | 5  | 22 | 0  | 7  |
+----------------------+----+----------+----+----+----+----+----+----+----+
